Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
65568-43334,RB,J.D.,J.D. McKissic,McKissic,9,6,5700,WAS@GB,WAS,GB,,,,,,RB/FLEX
65568-24920,RB,Devonta,Devonta Freeman,Freeman,4.079999923706055,5,5700,CIN@BAL,BAL,CIN,,,,,,RB/FLEX
65568-90537,WR,Henry,Henry Ruggs III,Ruggs III,11.233333587646484,6,5700,PHI@LV,LV,PHI,Q,Knee,,,,WR/FLEX
65568-54244,WR,Kenny,Kenny Golladay,Golladay,7.340000152587891,5,5700,CAR@NYG,NYG,CAR,Q,Knee,,,,WR/FLEX
65568-93541,RB,Javonte,Javonte Williams,Williams,8.333333333333334,6,5700,DEN@CLE,DEN,CLE,,,,,,RB/FLEX
65568-85798,WR,Brandon,Brandon Aiyuk,Aiyuk,3.959999847412109,5,5700,IND@SF,SF,IND,,,,,,WR/FLEX
65568-40845,TE,Hunter,Hunter Henry,Henry,8.84999974568685,6,5700,NYJ@NE,NE,NYJ,,,,,,TE/FLEX
65568-33260,WR,DeVante,DeVante Parker,Parker,9.675000190734863,4,5600,ATL@MIA,MIA,ATL,Q,Shoulder,,,,WR/FLEX
65568-57986,WR,Hunter,Hunter Renfrow,Renfrow,10.266666412353516,6,5600,PHI@LV,LV,PHI,,,,,,WR/FLEX
65568-111540,RB,Rhamondre,Rhamondre Stevenson,Stevenson,5.200000127156575,3,5600,NYJ@NE,NE,NYJ,,,,,,RB/FLEX
65568-93539,RB,Michael,Michael Carter,Carter,7.880000305175781,5,5600,NYJ@NE,NYJ,NE,,,,,,RB/FLEX
65568-60930,RB,Myles,Myles Gaskin,Gaskin,9.200000127156576,6,5600,ATL@MIA,MIA,ATL,,,,,,RB/FLEX
65568-14187,WR,A.J.,A.J. Green,Green,10.416666666666666,6,5600,HOU@ARI,ARI,HOU,,,,,,WR/FLEX
65568-24641,WR,Sammy,Sammy Watkins,Watkins,7.6400001525878904,5,5500,CIN@BAL,BAL,CIN,Q,Thigh,,,,WR/FLEX
65568-30989,RB,Kenyan,Kenyan Drake,Drake,7.716666539510091,6,5500,PHI@LV,LV,PHI,,,,,,RB/FLEX
65568-63819,WR,Darius,Darius Slayton,Slayton,7.400000254313151,3,5500,CAR@NYG,NYG,CAR,Q,Hamstring,,,,WR/FLEX
65568-90561,WR,Jerry,Jerry Jeudy,Jeudy,10.199999809265137,1,5500,DEN@CLE,DEN,CLE,IR,Ankle,,,,WR/FLEX
65568-86646,RB,Trey,Trey Sermon,Sermon,5.199999809265137,4,5500,IND@SF,SF,IND,,,,,,RB/FLEX
65568-47870,TE,Tyler,Tyler Higbee,Higbee,7.200000127156575,6,5500,DET@LAR,LAR,DET,,,,,,TE/FLEX
65568-70422,WR,Kalif,Kalif Raymond,Raymond,7.466666539510091,6,5500,DET@LAR,DET,LAR,,,,,,WR/FLEX
65568-29683,WR,Nelson,Nelson Agholor,Agholor,6.233333587646484,6,5500,NYJ@NE,NE,NYJ,,,,,,WR/FLEX
65568-64581,WR,Van,Van Jefferson Jr.,Jefferson Jr.,7.766666412353516,6,5500,DET@LAR,LAR,DET,,,,,,WR/FLEX
